entity,entityLabel,category,property,propertyLabel,value,unitLabel,sitelinks
http://www.wikidata.org/entity/Q1514429,HD 74156,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.24,solar mass,17
http://www.wikidata.org/entity/Q1328008,OGLE-2006-BLG-109L,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.51,solar mass,12
http://www.wikidata.org/entity/Q1388018,6 Lyncis,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.7,solar mass,12
http://www.wikidata.org/entity/Q1195144,WASP-18,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.24,solar mass,16
http://www.wikidata.org/entity/Q4042147,Kepler-32,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.58,solar mass,17
http://www.wikidata.org/entity/Q940004,14 Andromedae,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,2.2,solar mass,19
http://www.wikidata.org/entity/Q776002,Q776002,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.91,solar mass,26
http://www.wikidata.org/entity/Q1486878,Q1486878,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.388,solar mass,13
http://www.wikidata.org/entity/Q4042159,Q4042159,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.32,solar mass,15
http://www.wikidata.org/entity/Q1195694,82 G. Eridani,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.813,solar mass,23
http://www.wikidata.org/entity/Q254880,Q254880,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,2.0687,solar mass,12
http://www.wikidata.org/entity/Q1190765,Q1190765,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.8499,solar mass,19
http://www.wikidata.org/entity/Q3814721,Q3814721,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.6971,solar mass,12
http://www.wikidata.org/entity/Q524723,Q524723,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.86,solar mass,18
http://www.wikidata.org/entity/Q3772304,Gliese 775,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.77,solar mass,12
http://www.wikidata.org/entity/Q1514419,Macondo,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.7,solar mass,14
http://www.wikidata.org/entity/Q855428,Kepler-6,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.21,solar mass,16
http://www.wikidata.org/entity/Q926610,Ross 128,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.168,solar mass,34
http://www.wikidata.org/entity/Q403288,Kepler-36,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.03,solar mass,11
http://www.wikidata.org/entity/Q794095,Rho Coronae Borealis,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.99,solar mass,16
http://www.wikidata.org/entity/Q1154726,Q1154726,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.21,solar mass,14
http://www.wikidata.org/entity/Q1347965,Q1347965,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.22,solar mass,19
http://www.wikidata.org/entity/Q1090466,MOA-2007-BLG-192L,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.28,solar mass,11
http://www.wikidata.org/entity/Q1353978,Kepler-7,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.36,solar mass,18
http://www.wikidata.org/entity/Q284836,91 Aquarii,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.4,solar mass,19
http://www.wikidata.org/entity/Q272242,83 Leonis,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.83,solar mass,17
http://www.wikidata.org/entity/Q611329,Iota Draconis,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.4,solar mass,21
http://www.wikidata.org/entity/Q637760,OGLE-2005-BLG-169L,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.69,solar mass,12
